X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,codigo_nodo_estacion,componente_wifi,componente_aplificacion,log_replica
-74.1520629177544,4.63419960970753,16,05005,Transversal 86,991727.5244,1004202.4413,Av. Americas -tv. 86,Americas,4,1,0,0,4,0,4.63419961,-74.15206292,{D2034E56-C94F-49F2-9424-6E1420ADE93E},,,,,5005,,,
-74.0896937112401,4.63431420146854,17,06106,Recinto Ferial,998647.8889,1004214.6898,Carrera 43,Calle 26,2,1,0,0,4,0,4.6343142,-74.08969371,{122D1585-5496-487F-9001-2149C0DB5458},,,,,6106,,,
-74.0949273673886,4.60417877515058,18,07201,Guatoque - Veraguas,998067.0914,1000882.2818,Carrera 27,Calle 6,4,2,0,0,4,0,4.60417878,-74.09492737,{2F48161E-568F-42BC-B625-66D45B9C0FA9},,,,,13003,,,
-74.0939528179184,4.61613268893899,19,12002,CDS - Carrera 32,998175.2605,1002204.1604,Av. Americas -Carrera 32,Americas,2,2,0,0,4,0,4.61613269,-74.09395282,{1AD2B63F-1149-4105-B245-22193CFCB1BD},,,,,12002,,,
-74.0835272863979,4.63087977301861,20,06107,Ciudad Universitaria,999332.0997,1003834.8967,carrera 34,Calle 26,2,2,0,0,4,0,4.63087977,-74.08352729,{990E22FB-CF44-4CC2-83CD-75019C65AF3D},,,,,6107,,,
-74.0793211274175,4.63711878522734,21,07107,U. Nacional,999798.8106,1004524.8136,Kr 30 Cl 45,NQS,3,2,0,0,4,0,4.63711879,-74.07932113,{218ADE27-CB61-485A-961E-3B12F3787E12},,,,,7107,,,
-74.1087599642979,4.66195234965726,22,06100,AV. Rojas,996532.471,1007271.0248,Calle 26-Carrera 69 d,Calle 26,6,1,1,104,4,1,4.66195235,-74.10875996,{0FD19B6E-AF0B-4272-8D5D-DD4079F93370},,,,,6100,,,
-74.0838376385236,4.59812707029748,23,09109,Tercer Milenio,999297.6313,1000213.0552,Calle 8 - Calle 6,Caracas,3,2,0,0,4,0,4.59812707,-74.08383764,{77390325-584E-401D-AC32-6CDA80F86A77},,,,,9109,,,
-74.0802804141022,4.62598289480921,24,06108,Concejo de Bogotá,999692.3657,1003293.3903,Carrera38,Calle 26,2,1,0,0,4,0,4.62598289,-74.08028041,{0EB8C5FB-57BF-469D-9AC8-836C3E61FBED},,,,,6108,,,
-74.1237539994384,4.59379207060025,25,07007,NQS - Calle 38A S,994868.3368,999733.8476,AutoSur - Kr 39A,NQS,2,1,0,0,4,0,4.59379207,-74.123754,{26A128B3-4E81-4208-BE42-78E17DDC8125},,,,,7007,,,
-74.077662891166,4.65729067517778,26,07104,Simón Bolívar,999982.8049,1006755.4525,Kr 30 CL 63,NQS,2,1,0,0,4,0,4.65729068,-74.07766289,{3C4A2BC0-FC6D-4A61-B343-284579954276},,,,,7104,,,
-74.0804690428983,4.68572563850324,27,04104,AV. 68,999671.4633,1009899.8381,Carrera 60,Calle 80,1,1,0,0,4,0,4.68572564,-74.08046904,{B6BF3FBE-FB1A-4920-92E6-4AABA12B1143},,,,,4104,,,
-74.1115809460857,4.62788590476156,28,05107,Américas - Carrera 53A,996219.2913,1003503.9181,Amï¿½ricas - KR 53A,Americas,4,1,0,0,4,0,4.6278859,-74.11158095,{458EDCA4-746E-4CC3-9D1D-B5D9C6ACCBD0},,,,,5107,,,
-74.0647488189029,4.67069262752086,29,04108,Polo,1001415.651,1008237.4749,Transversal 27,Calle 80,1,1,0,0,4,0,4.67069263,-74.06474882,{2214F32B-5F2A-4537-A91E-CEE0F3CBF6D5},,,,,4108,,,
-74.0887644901875,4.59978261405381,30,07200,Tygua - San José,998750.933,1000396.1343,Carrera 18,Calle 6,4,2,0,0,4,0,4.59978261,-74.08876449,{E28A46F2-9110-419F-87DF-E0666EBEE682},,,,,13002,,,
-74.0931038428063,4.6375220932091,31,06105,Quinta Paredes,998269.5154,1004569.4308,Carrera 47,Calle 26,4,1,1,48,4,1,4.63752209,-74.09310384,{3F40B216-854D-48B0-8A9F-2468C2E3F2E2},,,,,6105,,,
-74.1016447409151,4.65086907677994,32,06102,Salitre - El Greco,997321.8892,1006045.3877,Carrera 66,Calle 26,4,1,0,0,4,0,4.65086908,-74.10164474,{0B54BC04-A361-418C-83A5-8D20E01679C6},,,,,6102,,,
-74.098688592532,4.62032238784883,33,12007,Zona Industrial,997649.7889,1002667.4774,calle 13 carrera 38,Americas,2,2,0,0,4,0,4.62032239,-74.09868859,{78E414FE-2435-4CD9-841F-250A94BF1A42},,,,,12007,,,
-74.193138463716,4.5921791878596,34,07505,Leon XIII,987169.1037,999556.3635,soacha,Soacha,2,1,0,0,4,0,4.59217919,-74.19313846,{81970CE3-DEEB-4943-9F11-9D897BB8DC36},,,,,7505,,,
-74.0895445088672,4.61691645120327,35,07110,Paloquemao,998664.4115,1002290.8202,Kr 30 Cl 19,NQS,2,1,0,0,4,0,4.61691645,-74.08954451,{F75B7D40-E28F-4B68-896B-701B10341FC2},,,,,7110,,,
-74.1045624073762,4.70468166892437,36,04002,Carrera 90,996998.3875,1011996.0859,Carrera 90,Calle 80,1,1,0,0,4,0,4.70468167,-74.10456241,{5B33774E-703A-4DE2-9C35-71B3513625A5},,,,,4002,,,
-74.0965137021243,4.64284515450764,37,06104,Gobernación,997891.1818,1005158.0724,Carrera 54,Calle 26,4,1,0,0,4,0,4.64284515,-74.0965137,{75321FE8-2280-4443-B163-3EDCB4D8400C},,,,,6104,,,
-74.1995304785893,4.58897740427352,38,07504,Terreros - Hospital C.V,986459.755,999202.4228,soacha,Soacha,3,1,0,0,4,0,4.5889774,-74.19953048,{71133184-FBD7-4D9D-BF74-44426C9799EF},,,,,7504,,,
-74.0696601142206,4.67545572061668,39,04107,Escuela Militar,1000870.7257,1008764.1776,Carrera 40,Calle 80,2,1,0,0,4,0,4.67545572,-74.06966011,{1F14510C-9E0C-420B-85E1-8145041672B6},,,,,4107,,,
-74.1412996447735,4.63084738337855,40,05101,Mandalay,992921.7631,1003831.6303,av. Amï¿½ricas Carrera 73,Americas,4,1,0,0,4,0,4.63084738,-74.14129964,{9ACBD3ED-96EE-46A9-97A6-763F7E0C9E55},,,,,5101,,,
-74.100287557955,4.70248562861434,41,04003,AV. Cali,997472.661,1011753.227,Carrera 86,Calle 80,1,1,0,0,2,0,4.70248563,-74.10028756,{0A29C78C-F780-4F83-9044-35A0E18ABDC7},,,,,4003,,,
-74.0868737198931,4.7388331242969,42,03002,Suba - TV. 91,998960.9438,1015772.5642,Av Suba Kr 90,Suba,2,1,0,0,4,0,4.73883312,-74.08687372,{0E63C259-4F75-4DB4-A1AC-F1D4A82450E4},,,,,3002,,,
-74.0904800216583,4.61301485145833,43,12003,Ricaurte - CL 13,998560.5985,1001859.3774,calle 13 - carrera 28,Americas,3,2,0,0,3,0,4.61301485,-74.09048002,{AA3312B2-D370-45A0-86A5-F07C69E0BCAE},,,,,12003,,,
-74.1014202162525,4.58183391577645,44,09104,Restrepo,997346.545,998411.3767,Calle 19 Sur - Av. 1 de M,Caracas,2,2,0,0,4,0,4.58183392,-74.10142022,{8D89A12A-619E-4A77-8E87-88FAB0050866},,,,,9104,,,
-74.0525671469767,4.71455989577119,45,02201,Prado,1002767.0626,1013088.429,Calle 128 B,Autonorte,3,1,0,0,4,0,4.7145599,-74.05256715,{87EBC353-BF9A-405D-90D9-99D2EB907FE5},,,,,2201,Valor NO al campo,Valor SI al campo,
-74.043569459161,4.76881826510841,46,02502,Terminal,1003765.0206,1019088.4638,Calle 190,Autonorte,4,1,0,0,4,0,4.76881827,-74.04356946,{3E88BBD2-27DB-40DE-9C33-141ABAABE054},,,,,2502,Valor NO al campo,Valor SI al campo,
-74.0590124330061,4.67599399036829,47,02302,Virrey,1002052.1007,1008823.7225,Calle 90,Autonorte,3,1,0,0,4,0,4.67599399,-74.05901243,{1B1C8FF9-5D6E-4172-8464-CE196FE8C879},,,,,2302,Valor SI al campo,Valor SI al campo,
-74.0472693194002,4.74618812017487,48,02101,Toberín,1003354.6798,1016585.9596,Calle 165,Autonorte,5,1,0,0,4,0,4.74618812,-74.04726932,{69E56C32-F9BC-471D-AB1A-056B0130CD0C},,,,,2101,Valor NO al campo,Valor SI al campo,
-74.0552976694193,4.69812498041107,49,02204,Pepe Sierra,1002464.1816,1011271.0169,Calle 116,Autonorte,2,1,0,0,4,0,4.69812498,-74.05529767,{E187D8C1-6327-414F-BDFC-2565F9FB5457},,,,,2204,Valor SI al campo,Valor SI al campo,
-74.0576959102626,4.68394667443732,50,02300,Calle 100,1002198.146,1009703.1476,Calle 97,Autonorte,3,2,0,0,4,0,4.68394667,-74.05769591,{42E1634E-2CB3-492F-AA3F-5D51143A22A9},,,,,2300,Valor SI al campo,Valor SI al campo,
-74.0505097017688,4.72685125011283,51,02105,Calle 142,1002995.2739,1014447.6377,Calle 142,Autonorte,4,1,0,0,4,0,4.72685125,-74.0505097,{B8FA9F6E-B702-48E9-A7C4-8D464CE71AE8},,,,,2105,Valor NO al campo,Valor SI al campo,
-74.0460349493978,4.75462117143394,52,02000,Portal del Norte,1003491.5788,1017518.5086,Calle 173,Autonorte,0,0,0,0,1,0,4.75462117,-74.04603495,{86D54933-E9CE-4439-80CE-E9C36D930A61},,,,,2000,Valor SI al campo,Valor SI al campo,
-74.0444038712243,4.76333017285406,53,02001,Calle 187,1003672.4828,1018481.5753,Calle 184,Autonorte,4,1,0,0,4,0,4.76333017,-74.04440387,{A9C99311-4163-4E09-B7B4-E7650DD843C7},,,,,2001,Valor SI al campo,Valor SI al campo,
-74.0514538784185,4.72115729506492,54,02200,Alcalá,1002890.5473,1013817.9858,Calle 137,Autonorte,3,2,0,0,4,0,4.7211573,-74.05145388,{C181DAF1-5CB7-4305-8AB3-665C99CD40AD},,,,,2200,Valor NO al campo,Valor SI al campo,
-74.0498216437422,4.73089336422896,55,02104,Calle 146,1003071.5916,1014894.6251,Calle 146,Autonorte,3,1,0,0,4,0,4.73089336,-74.04982164,{2CA3759A-A0E0-48D4-8599-524960ADC3BD},,,,,2104,Valor SI al campo,Valor NO al campo,
-74.0542292307771,4.70464049659866,56,02202,Calle 127,1002582.6987,1011991.5179,Calle 127,Autonorte,2,1,0,0,4,0,4.7046405,-74.05422923,{52D87AFF-3799-4279-A1C8-109F255CC2EB},,,,,2202,Valor NO al campo,Valor SI al campo,
-74.0603124425019,4.66813633265235,57,02304,Héroes,1001907.884,1007954.8061,Calle 80,Autonorte,6,1,0,0,4,0,4.66813633,-74.06031244,{0DF4E81C-BAF8-4466-AC28-5ECF855DB3D1},,,,,2304,Valor SI al campo,Valor NO al campo,
-74.0479860185776,4.7419128397675,58,02102,Calle 161,1003275.1891,1016113.1876,Calle 160,Autonorte,4,1,0,0,4,0,4.74191284,-74.04798602,{E237E407-7C7C-4161-A4FA-8C6F2E7DE43C},,,,,2102,Valor NO al campo,Valor NO al campo,
-74.0561783771686,4.69298189766728,59,02205,Calle 106,1002366.4862,1010702.2829,Calle 106,Autonorte,4,1,0,0,4,0,4.6929819,-74.05617838,{84C06C47-28B9-4B5F-B730-83BFF7ED12DF},,,,,2205,Valor NO al campo,Valor NO al campo,
-74.0492175563305,4.73458515728539,60,02103,Mazurén,1003138.5941,1015302.8731,Calle 152,Autonorte,5,1,0,0,4,0,4.73458516,-74.04921756,{262E5208-C370-4DA5-B1C4-0B10C3B95A4E},,,,,2103,Valor NO al campo,Valor NO al campo,
-74.0678688358029,4.63145167753934,61,09117,Calle 45,1001069.5372,1003898.1432,Calle 45 - Calle 42A,Caracas,3,2,0,0,4,0,4.63145168,-74.06786884,{BEACDAB7-99E5-4447-80B5-E22B6CDA6F8C},,,,,9117,Valor SI al campo,,
-74.0774012808525,4.6818209473412,62,04105,Carrera 53,1000011.8313,1009468.0501,Carrera 53,Calle 80,1,1,0,0,4,0,4.68182095,-74.07740128,{C22094C6-83DE-4729-83F5-621B108355F9},,,,,4105,Valor SI al campo,,
-74.0644479461701,4.67561896197162,63,07101,La Castellana,1001449.0234,1008782.2377,KR 30 Kr 24,NQS,4,1,0,0,4,0,4.67561896,-74.06444795,{E1A51B2E-C528-4596-BDF9-26F284E43365},,,,,7101,Valor SI al campo,,
-74.0937065192363,4.5769371097173,64,10002,AV. 1 Mayo,998202.4918,997869.8573,AV. 1? Mayo con Cra 7,Cr 7-10,3,2,0,0,4,0,4.57693711,-74.09370652,{11D49CF9-B7B5-49C3-96BA-E815CB083F2E},,,,,10002,Valor SI al campo,,
-74.0818916044267,4.60543098167938,65,14001,De La Sabana,999513.5752,1001020.7305,Calle 13 - Carrera 16,Americas,2,2,0,0,4,0,4.60543098,-74.0818916,{84C171AA-B203-4DB5-8517-54E2C91131A7},,,,,14001,Valor SI al campo,,
-74.1881159553195,4.59460133847051,66,07506,La Despensa,987726.4664,999824.1207,soacha,Soacha,2,1,0,0,4,0,4.59460134,-74.18811596,{219A2ABC-78D4-443D-B7D6-095ED75EB820},,,,,7506,Valor SI al campo,,
-74.0620685403827,4.65823884249961,67,09122,Calle 72,1001713.0642,1006860.3211,Calle 72 - Calle 70A,Caracas,3,2,0,0,4,0,4.65823884,-74.06206854,{F72F2D35-5C3C-494F-A9D1-02307E368E78},,,,,9122,Valor SI al campo,,
-74.0763125810224,4.62046589904735,68,06109,Centro Memoria,1000132.6346,1002683.3122,Carrera 20,Calle 26,2,2,0,0,4,0,4.6204659,-74.07631258,{3A8FC876-3240-4479-A039-BA81B3CB79A5},,,,,6109,Valor SI al campo,,
-74.1014166764251,4.62280517131233,69,12001,Carrera 43,997347.0895,1002942.0369,Av. Americas -Carrera 43,Americas,2,2,0,0,4,0,4.62280517,-74.10141668,{8B902060-2234-4052-97FC-567C92F0BCA5},,,,,12001,Valor SI al campo,,
-74.1238690123174,4.56022491729463,70,09002,Consuelo,994855.3348,996021.9462,Carrera 11A - Carrera 10C,Caracas,2,1,0,0,4,0,4.56022492,-74.12386901,{46642201-C25D-4425-9680-AA6CDE85E4D4},,,,,9002,Valor SI al campo,,
-74.0804280711814,4.60287397308485,71,09110,AV. Jiménez - Caracas,999675.9713,1000737.972,Calle 13 - Calle 11,Caracas,4,2,0,0,3,0,4.60287397,-74.08042807,{D830EF50-FC3D-416D-BE9A-9A13550841A3},,,,,9110,Valor SI al campo,,
-74.0998569230108,4.60424590180298,72,07112,Comuneros,997520.095,1000889.72,KR 30 -Cl 6A,NQS,2,2,0,0,4,0,4.6042459,-74.09985692,{E0348EB3-31DB-4725-9BC1-357A206432A4},,,,,7112,Valor SI al campo,,
-74.0746835431877,4.61169461819913,73,09113,Calle 22,1000313.3967,1001713.3716,Calle 24 - Calle 22,Caracas,3,2,0,0,4,0,4.61169462,-74.07468354,{53BBF0CB-532C-4779-ABF6-E217F4222C52},,,,,9113,Valor SI al campo,,
-74.1056254417057,4.65708058008513,74,06101,El Tiempo - Maloka,996880.2363,1006732.282,carrera 68d,Calle 26,4,1,0,0,4,0,4.65708058,-74.10562544,{92D04B1E-72B6-4726-A1B3-04C80C9BBC9A},,,,,6101,Valor SI al campo,,
-74.1593447977059,4.63789938843966,75,05002,Biblioteca Tintal,990919.5881,1004611.658,av.Cali - Calle 26 sur,Americas,4,2,0,0,4,0,4.63789939,-74.1593448,{0E3A8EE4-6B9A-4B1D-B3AC-3B44D3C3B26F},,,,,5002,Valor SI al campo,,
-74.0903382444227,4.58153243276756,76,10003,Ciudad Jardín,998576.2678,998378.0068,Kra 10- Cl12 sur,Cr 7-10,2,1,0,0,4,0,4.58153243,-74.09033824,{EEB45730-31AC-45A4-AAFB-6DAF96D99A84},,,,,10003,Valor SI al campo,,
-74.0818358527543,4.59402109027225,77,10005,Bicentenario,999519.7539,999759.0085,Kra 10 -Cl5,Cr 7-10,0,2,1,116,2,1,4.59402109,-74.08183585,{DF06F5B3-31D2-4524-8506-454D988C4184},,,,,10005,Valor SI al campo,,
-74.0658221013837,4.64298174336658,78,09119,Calle 57,1001296.6186,1005173.159,Calle 57 - Calle 54,Caracas,3,2,0,0,4,0,4.64298174,-74.0658221,{F5123EEF-4001-43D9-B186-BC550597898E},,,,,9119,Valor SI al campo,,
-74.13038805048,4.57030190418495,79,08002,Biblioteca,994132.0024,997136.3229,Calle 48A Sur,Tunal,2,1,0,0,4,0,4.5703019,-74.13038805,{CF4340F1-4877-4FAF-9B42-C7FC10D89F46},,,,,8002,Valor SI al campo,,
-74.0798661316369,4.63066292029669,80,07108,AV. El Dorado,999738.3359,1003810.9144,Kr 30 Av 28,NQS,1,1,0,0,4,0,4.63066292,-74.07986613,{EBEED4AA-E9B3-4611-AC61-439982EF993F},,,,,7108,Valor SI al campo,,
-74.0721518900298,4.61664490260165,81,09114,Calle 26,1000594.3086,1002260.7829,Avenida Calle 28 - Calle 2,Caracas,3,2,0,0,4,0,4.6166449,-74.07215189,{CFE0AD2E-303F-4C20-AE2F-4B997744E8ED},,,,,9114,Valor SI al campo,,
-74.1342712583796,4.5942584849617,82,07005,Alquería,993701.3005,999785.5084,AutoSur-Kr48,NQS,2,1,0,0,4,0,4.59425849,-74.13427126,{6774148C-7C04-4CBD-BC27-93AB2F2A058C},,,,,7005,Valor SI al campo,,
-74.1812246584018,4.59687865317087,83,07010,Bosa,988491.1911,1000075.8352,soacha,Soacha,2,1,0,0,4,0,4.59687865,-74.18122466,{35273BDA-D34F-4267-95B9-C49C461D9C53},,,,,7507,Valor SI al campo,,
-74.0841673360414,4.62341043580574,84,07109,CAD,999261.073,1003008.9268,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341044,-74.08416734,{C3B3D9F4-C30B-459D-9496-AA9CBFE450E1},,,,,7109,Valor SI al campo,,
-74.1457693836851,4.63130063745167,85,05100,Banderas,992425.812,1003881.798,Av. Americas -Carrera 78,Americas,0,2,1,101,2,1,4.63130064,-74.14576938,{ADD8E881-2952-484A-968E-D0E992ECF021},,,,,5100,Valor SI al campo,,
-74.0768581722259,4.60786106095154,86,09111,Calle 19,1000072.097,1001289.4507,Calle 19 - Calle 17,Caracas,3,2,0,0,4,0,4.60786106,-74.07685817,{3E972438-9DA9-407B-919B-66BEE7D9A7EF},,,,,9111,Valor SI al campo,,
-74.0791086066752,4.60304793053919,87,09110,AV. Jiménez - CL 13,999822.3829,1000757.208,Calle 13 - caracas,Americas,3,2,0,0,3,0,4.60304793,-74.07910861,{F4282057-CEBC-431E-9178-602615311D01},,,,,14003,Valor SI al campo,,
-74.0783459056279,4.65003852326539,88,07105,Movistar Arena,999907.0205,1005953.4981,Kr 30 Cl 57,NQS,2,1,0,0,4,0,4.65003852,-74.07834591,{153ADDBA-6C76-4D65-B106-95599D1A0DFF},,,,,7105,Valor SI al campo,,
-74.068691056891,4.62689711127706,89,09116,AV. 39,1000978.3111,1003394.4912,Avenida 39 - Avenida Calle,Caracas,3,2,0,0,4,0,4.62689711,-74.06869106,{33BFDDC7-492D-41F1-98A8-888D0AAA013D},,,,,9116,Valor SI al campo,,
-74.0612601610916,4.66303046363412,90,09123,Calle 76,1001802.7451,1007390.1883,Calle 76 - Calle 74,Caracas,3,2,0,0,4,0,4.66303046,-74.06126016,{5E6C70C2-3B15-47E8-B98E-1605935EB53A},,,,,9123,Valor SI al campo,,
-74.0648617313407,4.64840372288738,91,09120,Calle 63,1001403.1673,1005772.7318,Calle 63 - Calle 60,Caracas,3,2,0,0,4,0,4.64840372,-74.06486173,{536B1ED7-5DA4-498C-9963-6DF31143B7B3},,,,,9120,Valor SI al campo,,
-74.0596400231553,4.67231509806277,92,02303,Calle 85,1001982.479,1008416.9027,Calle 85,Autonorte,4,1,0,0,4,0,4.6723151,-74.05964002,{7BA12C0B-3FAD-4085-B1B6-464E608E6DBE},,,,,2303,Valor SI al campo,Valor SI al campo,
-74.1178792660969,4.59479179421763,93,07008,NQS - Calle 30 S,995520.2287,999844.359,AutoSur-Dg 26 Sur,NQS,2,1,0,0,4,0,4.59479179,-74.11787927,{CACA1546-48E9-4936-A6F2-55E42FEA37FF},,,,,7008,Valor SI al campo,,
-74.0986314921589,4.57141438704361,94,10001,Country Sur,997655.965,997259.1614,Kra 10- Cl28 sur,Cr 7-10,2,2,0,0,4,0,4.57141439,-74.09863149,{AD973BC1-85EB-4438-8F19-F3AE385AB383},,,,,10001,Valor SI al campo,,
-74.0736406707842,4.67800633873993,95,04106,Carrera 47,1000429.0753,1009046.2255,Carrera 46,Calle 80,1,1,0,0,4,0,4.67800634,-74.07364067,{B333C4BD-1159-40F9-B25B-029D17773219},,,,,4106,Valor SI al campo,,
-74.110506257108,4.70982947984633,96,04000,Portal de la 80,996338.9625,1012565.3683,Carrera 96,Calle 80,0,0,1,353,1,1,4.70982948,-74.11050626,{189FB8BE-5612-4CEA-BFB3-A4DAFD45A8FD},,,,,4000,Valor SI al campo,,
-74.10736095035,4.57890853330027,97,09103,Olaya,996687.3113,998087.9086,Calle 24 Sur - Calle 27 Su,Caracas,2,1,0,0,4,0,4.57890853,-74.10736095,{AEBA47DB-9C7D-4B64-9F4A-86D39A23ED2A},,,,,9103,Valor SI al campo,,
-74.1218339451757,4.55705943707859,98,09001,Molinos,995081.1436,995671.889,Carrera 9A,Caracas,2,2,0,0,2,0,4.55705944,-74.12183395,{73AE7786-CEBB-45E3-BE44-E44E0555A801},,,,,9001,Valor SI al campo,,
-74.0939263692018,4.58628563098092,99,09106,Nariño,998178.1194,998903.6301,Calle 8 Sur - Calle 11 Sur,Caracas,2,1,0,0,4,0,4.58628563,-74.09392637,{99727137-A5A8-4796-BF0E-8229E8049A53},,,,,9106,Valor SI al campo,,
-74.0747264577321,4.72733704730468,100,03004,Gratamira,1000308.5843,1014501.3005,Av Suba Cl 135,Suba,2,1,0,0,4,0,4.72733705,-74.07472646,{3B8956D5-F1A1-4F0A-ABB5-5B26E6196B48},,,,,3004,Valor SI al campo,,
-74.1186730633572,4.62853237808737,101,05105,Pradera,995432.3612,1003575.4478,Av. Americas -Carrera 64,Americas,4,1,1,32,4,1,4.62853238,-74.11867306,{3B9CE75E-1813-4DC2-A5A2-ED420A7C1FE8},,,,,5105,Valor SI al campo,,
-74.0743188453787,4.60606079266802,102,10007,Las Nieves,1000353.8669,1001090.3752,Kra 10- Cl18,Cr 7-10,2,2,0,0,4,0,4.60606079,-74.07431885,{51955B01-E96E-4D96-88D4-30D2B409C73B},,,,,10007,Valor SI al campo,,
-74.1171169508407,4.67504412658905,103,06001,Modelia,995605.3141,1008718.7818,Carrera 84,Calle 26,4,1,0,0,4,0,4.67504413,-74.11711695,{B6E3A9BB-B0E9-4D54-B82B-8E3ABB63042B},,,,,6001,Valor SI al campo,,
-74.121395448976,4.68160430284573,104,06000,Portal El Dorado,995130.6531,1009444.2454,carrera 87,Calle 26,0,0,1,532,1,1,4.6816043,-74.12139545,{D70CCE5C-62F9-4627-A093-19138C5781F4},,,,,6000,Valor SI al campo,,
-74.0630213211557,4.65490595741051,105,09121,Flores,1001607.3567,1006491.7631,Calle 69  - Calle 67,Caracas,2,2,0,0,4,0,4.65490596,-74.06302132,{13FD02B4-3E3D-4B5D-AFB5-067E6D937BD7},,,,,9121,Valor SI al campo,,
-74.0728975941571,4.6011607216041,106,14004,Museo del Oro,1000511.5758,1000548.5192,carrera 2,Eje Ambiental,1,2,0,0,4,0,4.60116072,-74.07289759,{AAE0C54B-7DF7-498C-94B4-3D38A29B7982},,,,,14004,Valor SI al campo,,
